loss,accuracy,val_loss,val_accuracy,lr
0.5591,0.7117,0.4214,0.8362,0.0001
0.4104,0.8235,0.3577,0.8642,0.0001
0.3623,0.8475,0.3325,0.8675,0.0001
0.331,0.8678,0.3114,0.8718,0.0001
0.3106,0.8733,0.3094,0.8696,0.0001
0.2948,0.88,0.2937,0.8761,0.0001
0.2831,0.8838,0.2861,0.8793,0.0001
0.2723,0.8943,0.2787,0.8793,0.0001
0.2646,0.8923,0.2713,0.8836,0.0001
0.2557,0.897,0.2761,0.8836,0.0001
0.2491,0.9005,0.2689,0.8858,0.0001
0.2426,0.8985,0.257,0.8912,0.0001
0.2343,0.9053,0.2565,0.8836,0.0001
0.2319,0.9038,0.2544,0.8901,0.0001
0.2206,0.9085,0.2502,0.8922,5e-05
0.2176,0.9087,0.2472,0.8922,5e-05
0.2168,0.9123,0.2632,0.8858,5e-05
0.2153,0.9145,0.246,0.8944,2.5e-05
0.2094,0.9148,0.2522,0.8922,2.5e-05
0.2103,0.9122,0.2536,0.889,2.5e-05
0.2087,0.9122,0.2473,0.8901,1.25e-05
0.2078,0.9185,0.2449,0.8966,1.25e-05
0.2053,0.9192,0.2499,0.8912,1.25e-05
0.2074,0.9143,0.2482,0.8922,1.25e-05
0.2061,0.9162,0.246,0.8912,6.25e-06
